year,amount,institution,category
2012,138,Warsaw University of Technology,Chemical Engineering
2013,135,Warsaw University of Technology,Chemical Engineering
2014,140,Warsaw University of Technology,Chemical Engineering
2015,153,Warsaw University of Technology,Chemical Engineering
2016,186,Warsaw University of Technology,Chemical Engineering
2017,206,Warsaw University of Technology,Chemical Engineering
2018,195,Warsaw University of Technology,Chemical Engineering
2019,201,Warsaw University of Technology,Chemical Engineering
2020,224,Warsaw University of Technology,Chemical Engineering
2021,203,Warsaw University of Technology,Chemical Engineering
2012,56,AGH University of Science and Technology,Chemical Engineering
2013,85,AGH University of Science and Technology,Chemical Engineering
2014,89,AGH University of Science and Technology,Chemical Engineering
2015,132,AGH University of Science and Technology,Chemical Engineering
2016,141,AGH University of Science and Technology,Chemical Engineering
2017,173,AGH University of Science and Technology,Chemical Engineering
2018,169,AGH University of Science and Technology,Chemical Engineering
2019,157,AGH University of Science and Technology,Chemical Engineering
2020,150,AGH University of Science and Technology,Chemical Engineering
2021,146,AGH University of Science and Technology,Chemical Engineering
2012,248,AGH University of Science and Technology,Mathematics
2013,223,AGH University of Science and Technology,Mathematics
2014,287,AGH University of Science and Technology,Mathematics
2015,294,AGH University of Science and Technology,Mathematics
2016,353,AGH University of Science and Technology,Mathematics
2017,341,AGH University of Science and Technology,Mathematics
2018,373,AGH University of Science and Technology,Mathematics
2019,358,AGH University of Science and Technology,Mathematics
2020,469,AGH University of Science and Technology,Mathematics
2021,589,AGH University of Science and Technology,Mathematics
2012,0,AGH University of Science and Technology,Immunology and Microbiology
2013,5,AGH University of Science and Technology,Immunology and Microbiology
2014,5,AGH University of Science and Technology,Immunology and Microbiology
2015,4,AGH University of Science and Technology,Immunology and Microbiology
2016,6,AGH University of Science and Technology,Immunology and Microbiology
2017,5,AGH University of Science and Technology,Immunology and Microbiology
2018,6,AGH University of Science and Technology,Immunology and Microbiology
2019,6,AGH University of Science and Technology,Immunology and Microbiology
2020,6,AGH University of Science and Technology,Immunology and Microbiology
2021,4,AGH University of Science and Technology,Immunology and Microbiology
2012,8,Warsaw University of Technology,Immunology and Microbiology
2013,5,Warsaw University of Technology,Immunology and Microbiology
2014,12,Warsaw University of Technology,Immunology and Microbiology
2015,4,Warsaw University of Technology,Immunology and Microbiology
2016,9,Warsaw University of Technology,Immunology and Microbiology
2017,10,Warsaw University of Technology,Immunology and Microbiology
2018,5,Warsaw University of Technology,Immunology and Microbiology
2019,7,Warsaw University of Technology,Immunology and Microbiology
2020,7,Warsaw University of Technology,Immunology and Microbiology
2021,9,Warsaw University of Technology,Immunology and Microbiology
2012,135,Warsaw University of Technology,General Computer Science
2013,89,Warsaw University of Technology,General Computer Science
2014,140,Warsaw University of Technology,General Computer Science
2015,194,Warsaw University of Technology,General Computer Science
2016,184,Warsaw University of Technology,General Computer Science
2017,166,Warsaw University of Technology,General Computer Science
2018,148,Warsaw University of Technology,General Computer Science
2019,114,Warsaw University of Technology,General Computer Science
2020,195,Warsaw University of Technology,General Computer Science
2021,103,Warsaw University of Technology,General Computer Science
2012,182,AGH University of Science and Technology,General Computer Science
2013,128,AGH University of Science and Technology,General Computer Science
2014,179,AGH University of Science and Technology,General Computer Science
2015,160,AGH University of Science and Technology,General Computer Science
2016,172,AGH University of Science and Technology,General Computer Science
2017,166,AGH University of Science and Technology,General Computer Science
2018,155,AGH University of Science and Technology,General Computer Science
2019,111,AGH University of Science and Technology,General Computer Science
2020,159,AGH University of Science and Technology,General Computer Science
2021,118,AGH University of Science and Technology,General Computer Science
2012,341,Warsaw University of Technology,Mathematics
2013,336,Warsaw University of Technology,Mathematics
2014,396,Warsaw University of Technology,Mathematics
2015,365,Warsaw University of Technology,Mathematics
2016,468,Warsaw University of Technology,Mathematics
2017,445,Warsaw University of Technology,Mathematics
2018,382,Warsaw University of Technology,Mathematics
2019,408,Warsaw University of Technology,Mathematics
2020,376,Warsaw University of Technology,Mathematics
2021,455,Warsaw University of Technology,Mathematics
2012,23,Poznan University of Economics and Business,Mathematics
2013,23,Poznan University of Economics and Business,Mathematics
2014,11,Poznan University of Economics and Business,Mathematics
2015,24,Poznan University of Economics and Business,Mathematics
2016,14,Poznan University of Economics and Business,Mathematics
2017,35,Poznan University of Economics and Business,Mathematics
2018,24,Poznan University of Economics and Business,Mathematics
2019,36,Poznan University of Economics and Business,Mathematics
2020,28,Poznan University of Economics and Business,Mathematics
2021,40,Poznan University of Economics and Business,Mathematics
2012,0,Poznan University of Economics and Business,Chemical Engineering
2013,5,Poznan University of Economics and Business,Chemical Engineering
2014,7,Poznan University of Economics and Business,Chemical Engineering
2015,4,Poznan University of Economics and Business,Chemical Engineering
2016,4,Poznan University of Economics and Business,Chemical Engineering
2017,4,Poznan University of Economics and Business,Chemical Engineering
2018,6,Poznan University of Economics and Business,Chemical Engineering
2019,11,Poznan University of Economics and Business,Chemical Engineering
2020,11,Poznan University of Economics and Business,Chemical Engineering
2021,9,Poznan University of Economics and Business,Chemical Engineering
2012,15,Poznan University of Economics and Business,General Computer Science
2013,9,Poznan University of Economics and Business,General Computer Science
2014,9,Poznan University of Economics and Business,General Computer Science
2015,8,Poznan University of Economics and Business,General Computer Science
2016,7,Poznan University of Economics and Business,General Computer Science
2017,15,Poznan University of Economics and Business,General Computer Science
2018,22,Poznan University of Economics and Business,General Computer Science
2019,9,Poznan University of Economics and Business,General Computer Science
2020,13,Poznan University of Economics and Business,General Computer Science
2021,10,Poznan University of Economics and Business,General Computer Science
2012,0,Poznan University of Economics and Business,Literature and Literary Theory
2013,0,Poznan University of Economics and Business,Literature and Literary Theory
2014,0,Poznan University of Economics and Business,Literature and Literary Theory
